LIF SNN Neuron Firing Log — Foci
Parameters: tau_leaky=58us, v_thresh=1.2V
LIF Resolution: 15° per neuron
Date: 2026-03-30 08:02:28
======================================================================
  True Angle  Servo Pos  Fire Time (s)   Neuron Angle
----------------------------------------------------------------------
           0         45       0.060301          180.0
           0         45       0.176851          180.0
           0         45       0.275926          180.0
           0         45       0.282704          180.0
           0         45       0.387606          180.0
           0         45       1.642047          180.0
           0         45       1.654383          180.0
           0         45       1.679540          180.0
           0         45       1.707383          180.0
           0         45       1.828613          180.0
           0         45       1.835051          180.0
           0         45       1.862489          180.0
           0         45       2.072176          180.0
           0         45       2.079847          180.0
           0         45       2.087551          180.0
           0         45       2.321769          180.0
           0         45       2.328211          180.0
           0         45       2.350165          180.0
           0         45       2.419126          180.0
           0         45       2.438726          180.0
           0         45       2.503231          180.0
           0         45       2.517200          180.0
           0         45       2.524304          180.0
           0         45       2.526371          180.0
           0         45       2.585758          180.0
           0         45       2.634289          180.0
           0         45       2.779418          180.0
           0         45       2.786660          180.0
           0         45       2.793540          180.0
           0         45       2.833305          180.0
           0         45       2.838574          180.0
           0         45       2.922562          180.0
           5         50       0.240879          165.0
           5         50       0.244334          210.0
           5         50       0.252428          195.0
           5         50       0.499238          180.0
           5         50       0.529200          180.0
           5         50       1.666981          165.0
           5         50       1.675918          180.0
           5         50       1.860692          180.0
           5         50       1.871230          180.0
           5         50       1.881770          180.0
           5         50       1.892383          180.0
           5         50       1.913508          180.0
           5         50       1.978118          180.0
           5         50       2.020981          180.0
           5         50       2.054500          180.0
           5         50       2.278629          180.0
           5         50       2.311899          180.0
           5         50       2.382274          180.0
           5         50       2.394351          180.0
          10         55       0.028135          165.0
          10         55       1.014239          165.0
          10         55       1.391028          180.0
          10         55       1.399926          180.0
          10         55       1.420858          165.0
          10         55       1.444590          165.0
          10         55       1.546996          165.0
          10         55       2.746245          165.0
          15         60       0.519260          165.0
          15         60       0.553885          165.0
          15         60       0.729469          165.0
          15         60       0.825887          165.0
          15         60       1.032887          165.0
          15         60       1.156350          165.0
          15         60       1.167594          165.0
          15         60       1.178703          165.0
          15         60       1.189389          165.0
          15         60       1.199672          165.0
          15         60       1.210608          165.0
          15         60       1.219149          165.0
          15         60       1.228471          165.0
          15         60       1.285331          165.0
          15         60       1.322043          165.0
          15         60       1.507735          165.0
          15         60       1.514985          165.0
          15         60       1.522305          165.0
          15         60       1.575297          165.0
          20         65       0.091241          165.0
          20         65       0.212253          165.0
          20         65       0.534696          165.0
          20         65       0.536799          165.0
          20         65       0.914264          150.0
          20         65       0.915303          165.0
          20         65       1.041305          165.0
          20         65       1.293918          165.0
          20         65       1.304364          165.0
          20         65       1.645274          165.0
          20         65       1.708840          165.0
          20         65       1.798245          165.0
          20         65       1.842426          165.0
          20         65       2.157569          165.0
          20         65       2.167336          165.0
          20         65       2.201249          165.0
          20         65       2.221823          165.0
          20         65       2.230264          165.0
          25         70       2.131014          165.0
          25         70       2.172096          150.0
          25         70       2.239032          150.0
          25         70       2.284103          135.0
          25         70       2.659049          150.0
          25         70       2.785657          150.0
          25         70       2.947024          150.0
          25         70       2.950036          150.0
          30         75       0.599123          150.0
          30         75       0.606504          150.0
          30         75       0.635813          150.0
          30         75       0.654633          165.0
          30         75       1.692994          150.0
          30         75       1.710305          150.0
          30         75       1.784834          150.0
          30         75       1.946536          150.0
          30         75       1.964026          150.0
          30         75       2.192873          150.0
          30         75       2.337092          150.0
          30         75       2.349311          150.0
          30         75       2.363145          150.0
          30         75       2.372133          150.0
          30         75       2.389858          150.0
          30         75       2.395301          165.0
          30         75       2.408614          165.0
          30         75       2.417889          150.0
          30         75       2.490697          150.0
          30         75       2.512506          150.0
          30         75       2.526012          150.0
          30         75       2.826252          150.0
          30         75       2.833762          150.0
          30         75       2.939084          150.0
          30         75       2.968330          150.0
          30         75       2.974400          150.0
          30         75       2.982529          150.0
          35         80       0.005340          150.0
          35         80       0.031954          150.0
          35         80       0.085637          150.0
          35         80       0.090313          150.0
          35         80       0.100298          135.0
          35         80       0.332094          150.0
          35         80       0.589969          150.0
          35         80       0.592387          150.0
          35         80       0.601698          135.0
