LIF SNN Neuron Firing Log — Foci
Parameters: tau_leaky=100us, v_thresh=0.8V
LIF Resolution: 15° per neuron
Date: 2026-03-30 06:04:08
======================================================================
  True Angle  Servo Pos  Fire Time (s)   Neuron Angle
----------------------------------------------------------------------
           0         45       0.000719          180.0
           0         45       0.002354          195.0
           0         45       0.004139          165.0
           0         45       0.007480          180.0
           0         45       0.008559          165.0
           0         45       0.014187          180.0
           0         45       0.018098          180.0
           0         45       0.022304          180.0
           0         45       0.023651          165.0
           0         45       0.024698          195.0
           0         45       0.026192          210.0
           0         45       0.026192          225.0
           0         45       0.026192          240.0
           0         45       0.027239          180.0
           0         45       0.028852          195.0
           0         45       0.030172          180.0
           0         45       0.031778          165.0
           0         45       0.034301          180.0
           0         45       0.035348          195.0
           0         45       0.037219          180.0
           0         45       0.039186          195.0
           0         45       0.040812          180.0
           0         45       0.041864          165.0
           0         45       0.043811          150.0
           0         45       0.045665          180.0
           0         45       0.047315          195.0
           0         45       0.048328          180.0
           0         45       0.050249          195.0
           0         45       0.052192          135.0
           0         45       0.052192          150.0
           0         45       0.052192          165.0
           0         45       0.053805          180.0
           0         45       0.060297          180.0
           0         45       0.061339          165.0
           0         45       0.063811          165.0
           0         45       0.066808          180.0
           0         45       0.073321          180.0
           0         45       0.079833          180.0
           0         45       0.081327          255.0
           0         45       0.086313          180.0
           0         45       0.087797          210.0
           0         45       0.092782          180.0
           0         45       0.100172          255.0
           0         45       0.100172          270.0
           0         45       0.105708          180.0
           0         45       0.109308          180.0
           0         45       0.118562          180.0
           0         45       0.119964          165.0
           0         45       0.121344          270.0
           0         45       0.124949          180.0
           0         45       0.126377          150.0
           0         45       0.127743          180.0
           0         45       0.130828          180.0
           0         45       0.137285          180.0
           0         45       0.143762          180.0
           0         45       0.150316          180.0
           0         45       0.157515          180.0
           0         45       0.160379          180.0
           0         45       0.164137          180.0
           0         45       0.170762          180.0
           0         45       0.171973          195.0
           0         45       0.174629          180.0
           0         45       0.176851          180.0
           0         45       0.179590          210.0
           0         45       0.183476          180.0
           0         45       0.186251          180.0
           0         45       0.188020          195.0
           0         45       0.190282            0.0
           0         45       0.191508           15.0
           0         45       0.191508          345.0
           0         45       0.192832          180.0
           0         45       0.195615           30.0
           0         45       0.195615          240.0
           0         45       0.196872            0.0
           0         45       0.202218          225.0
           0         45       0.208769          180.0
           0         45       0.210364          195.0
           0         45       0.216863          180.0
           0         45       0.220957          180.0
           0         45       0.223387          210.0
           0         45       0.223387          225.0
           0         45       0.227566          180.0
           0         45       0.229914          180.0
           0         45       0.236434          180.0
           0         45       0.238086          165.0
           0         45       0.242976          180.0
           0         45       0.244606          195.0
           0         45       0.249515          180.0
           0         45       0.251188          165.0
           0         45       0.252743          150.0
           0         45       0.254032          180.0
           0         45       0.256090          180.0
           0         45       0.259674          195.0
           0         45       0.262722          180.0
           0         45       0.264199            0.0
           0         45       0.266265          180.0
           0         45       0.275922          180.0
           0         45       0.282704          180.0
           0         45       0.284604          195.0
           0         45       0.285917          165.0
           0         45       0.289555          180.0
           0         45       0.297754          180.0
           0         45       0.299344          195.0
           0         45       0.300625          120.0
           0         45       0.303781          180.0
           0         45       0.304897          225.0
           0         45       0.312518          195.0
           0         45       0.314333            0.0
           0         45       0.317469          180.0
           0         45       0.320347           90.0
           0         45       0.323512          270.0
           0         45       0.325604          195.0
           0         45       0.327433           90.0
           0         45       0.337076          150.0
           0         45       0.338730          180.0
           0         45       0.341860          120.0
           0         45       0.363672          180.0
           0         45       0.387605          180.0
           0         45       0.404227          180.0
           0         45       0.409312           90.0
           0         45       0.409312          180.0
           0         45       0.456254          180.0
           0         45       0.782867          180.0
           0         45       0.793437          180.0
           0         45       0.795820          180.0
           0         45       0.805715          180.0
           0         45       0.961789          180.0
           0         45       0.973520          180.0
           0         45       0.974639          165.0
           0         45       1.524054          180.0
           0         45       1.535973          180.0
           0         45       1.543195          180.0
           0         45       1.642043          180.0
           0         45       1.648270          180.0
           0         45       1.654376          180.0
           0         45       1.666747          180.0
           0         45       1.673101          180.0
           0         45       1.676128          165.0
           0         45       1.679536          180.0
           0         45       1.684764           45.0
           0         45       1.686149          180.0
           0         45       1.691471          210.0
           0         45       1.699022          315.0
           0         45       1.700519          180.0
           0         45       1.701737          195.0
           0         45       1.705965           75.0
           0         45       1.707383          180.0
           0         45       1.708524          195.0
           0         45       1.708524          210.0
           0         45       1.708524          225.0
           0         45       1.828609          180.0
           0         45       1.835051          180.0
           0         45       1.836254          195.0
           0         45       1.840176          180.0
           0         45       1.841594          195.0
           0         45       1.844539          180.0
           0         45       1.848321          180.0
           0         45       1.850327          165.0
           0         45       1.851633          180.0
           0         45       1.853313           15.0
           0         45       1.853313           30.0
           0         45       1.855234          180.0
           0         45       1.856329          195.0
           0         45       1.856329          210.0
           0         45       1.856329          240.0
           0         45       1.859239          165.0
           0         45       1.859239          180.0
           0         45       1.862488          180.0
           0         45       1.864303          165.0
           0         45       1.868825          180.0
           0         45       1.869913          195.0
           0         45       1.879680          165.0
           0         45       1.879680          180.0
           0         45       1.883999          105.0
           0         45       1.888952          345.0
           0         45       1.897417          345.0
           0         45       1.963602          180.0
           0         45       2.054575          180.0
           0         45       2.057008          180.0
           0         45       2.058081          195.0
           0         45       2.059645          180.0
           0         45       2.060803          195.0
           0         45       2.061922          180.0
           0         45       2.063053           75.0
           0         45       2.063053          195.0
           0         45       2.070043          180.0
           0         45       2.072168          180.0
           0         45       2.073383          195.0
           0         45       2.074894          270.0
           0         45       2.079844          180.0
           0         45       2.080917          195.0
           0         45       2.082457          180.0
           0         45       2.083574           90.0
           0         45       2.087547          180.0
           0         45       2.089196          165.0
