LIF SNN Neuron Firing Log — Foci
Parameters: tau_leaky=58us, v_thresh=0.5V
LIF Resolution: 15° per neuron
Date: 2026-03-30 07:05:49
======================================================================
  True Angle  Servo Pos  Fire Time (s)   Neuron Angle
----------------------------------------------------------------------
           0         45       0.000583            0.0
           0         45       0.000719          180.0
           0         45       0.002223          345.0
           0         45       0.002354          195.0
           0         45       0.004008            0.0
           0         45       0.004008           15.0
           0         45       0.004200          225.0
           0         45       0.007344            0.0
           0         45       0.007480          180.0
           0         45       0.007658           30.0
           0         45       0.008524          270.0
           0         45       0.011344          345.0
           0         45       0.012401          330.0
           0         45       0.014051            0.0
           0         45       0.014187          180.0
           0         45       0.015122          240.0
           0         45       0.015122          255.0
           0         45       0.015790          165.0
           0         45       0.016629            0.0
           0         45       0.016629          330.0
           0         45       0.016629          345.0
           0         45       0.017993           15.0
           0         45       0.018098          180.0
           0         45       0.020727          180.0
           0         45       0.021168            0.0
           0         45       0.021168           15.0
           0         45       0.022207          345.0
           0         45       0.022334          165.0
           0         45       0.023520            0.0
           0         45       0.023644          180.0
           0         45       0.024602           15.0
           0         45       0.024733          165.0
           0         45       0.026059          345.0
           0         45       0.026192          195.0
           0         45       0.026192          210.0
           0         45       0.026192          225.0
           0         45       0.026192          240.0
           0         45       0.027235           90.0
           0         45       0.027235          180.0
           0         45       0.028825          195.0
           0         45       0.028825          210.0
           0         45       0.029012           15.0
           0         45       0.029012           30.0
           0         45       0.029012           60.0
           0         45       0.030110          240.0
           0         45       0.030110          255.0
           0         45       0.031743          180.0
           0         45       0.031743          195.0
           0         45       0.031743          210.0
           0         45       0.034168            0.0
           0         45       0.034301          180.0
           0         45       0.035313          135.0
           0         45       0.035313          150.0
           0         45       0.035313          165.0
           0         45       0.035501          330.0
           0         45       0.037083            0.0
           0         45       0.037219          180.0
           0         45       0.039055          345.0
           0         45       0.039186          195.0
           0         45       0.040676            0.0
           0         45       0.040812          180.0
           0         45       0.041727           15.0
           0         45       0.041864          165.0
           0         45       0.043762          120.0
           0         45       0.043762          180.0
           0         45       0.045540            0.0
           0         45       0.045682          165.0
           0         45       0.047184          345.0
           0         45       0.047301          180.0
           0         45       0.048211            0.0
           0         45       0.048342          165.0
           0         45       0.050106           15.0
           0         45       0.050235          180.0
           0         45       0.051254          195.0
           0         45       0.051254          210.0
           0         45       0.052059           30.0
           0         45       0.052192          135.0
           0         45       0.052192          150.0
           0         45       0.052192          165.0
           0         45       0.053668            0.0
           0         45       0.053805           90.0
           0         45       0.053805          180.0
           0         45       0.054719           15.0
           0         45       0.055793          165.0
           0         45       0.060161            0.0
           0         45       0.060297          180.0
           0         45       0.061208           15.0
           0         45       0.061339          165.0
           0         45       0.062758          120.0
           0         45       0.063688            0.0
           0         45       0.063824          180.0
           0         45       0.066672            0.0
           0         45       0.066808          180.0
           0         45       0.067824           90.0
           0         45       0.068371          270.0
           0         45       0.069286          345.0
           0         45       0.073188            0.0
           0         45       0.073321          180.0
           0         45       0.079700            0.0
           0         45       0.079833          180.0
           0         45       0.081235          330.0
           0         45       0.081235          345.0
           0         45       0.082512          180.0
           0         45       0.085188          105.0
           0         45       0.086184            0.0
           0         45       0.086313          180.0
           0         45       0.087684          345.0
           0         45       0.087797          210.0
           0         45       0.088985          180.0
           0         45       0.091239          210.0
           0         45       0.091239          225.0
           0         45       0.092661            0.0
           0         45       0.092782          180.0
           0         45       0.095032           90.0
           0         45       0.095032          180.0
           0         45       0.096055          165.0
           0         45       0.098680          180.0
           0         45       0.099122            0.0
           0         45       0.100164          270.0
           0         45       0.101321            0.0
           0         45       0.101950          180.0
           0         45       0.105586            0.0
           0         45       0.105708          180.0
           0         45       0.107145          195.0
           0         45       0.107758            0.0
           0         45       0.109203           15.0
           0         45       0.109364          225.0
           0         45       0.111575          210.0
           0         45       0.111575          225.0
           0         45       0.112094          120.0
           0         45       0.113543           90.0
           0         45       0.113543          180.0
           0         45       0.114333          270.0
           0         45       0.115692          105.0
           0         45       0.118540          135.0
           0         45       0.118540          180.0
           0         45       0.119840            0.0
           0         45       0.119964          165.0
           0         45       0.121286          330.0
           0         45       0.121471          120.0
           0         45       0.124825            0.0
           0         45       0.124949          180.0
           0         45       0.126286          345.0
           0         45       0.126417          195.0
           0         45       0.127626            0.0
           0         45       0.127762          180.0
           0         45       0.130692            0.0
           0         45       0.130828          180.0
           0         45       0.132770          165.0
           0         45       0.132770          195.0
