LIF SNN Neuron Firing Log — Foci
Parameters: tau_leaky=55us, v_thresh=1.0V
LIF Resolution: 15° per neuron
Date: 2026-03-30 04:01:21
======================================================================
  True Angle  Servo Pos  Fire Time (s)   Neuron Angle
----------------------------------------------------------------------
           0         45       0.018106          180.0
           0         45       0.022308          180.0
           0         45       0.034304          180.0
           0         45       0.040817          180.0
           0         45       0.045676          180.0
           0         45       0.053813          180.0
           0         45       0.060301          180.0
           0         45       0.066813          180.0
           0         45       0.073324          180.0
           0         45       0.079836          180.0
           0         45       0.086320          180.0
           0         45       0.092803          195.0
           0         45       0.124961          180.0
           0         45       0.127757          195.0
           0         45       0.137293          180.0
           0         45       0.143770          180.0
           0         45       0.160411          195.0
           0         45       0.164149          180.0
           0         45       0.170762          180.0
           0         45       0.174653          195.0
           0         45       0.176851          180.0
           0         45       0.191508            0.0
           0         45       0.192860          195.0
           0         45       0.220989          195.0
           0         45       0.229929          180.0
           0         45       0.236445          180.0
           0         45       0.242988          180.0
           0         45       0.249523          180.0
           0         45       0.256097          180.0
           0         45       0.262731          180.0
           0         45       0.266295          165.0
           0         45       0.275926          180.0
           0         45       0.282704          180.0
           0         45       0.303786          180.0
           0         45       0.387606          180.0
           0         45       0.795854          165.0
           0         45       0.805745          165.0
           0         45       1.642047          180.0
           0         45       1.654383          180.0
           0         45       1.666758          180.0
           0         45       1.679540          180.0
           0         45       1.686156          180.0
           0         45       1.707383          180.0
           0         45       1.828613          180.0
           0         45       1.835051          180.0
           0         45       1.836264          195.0
           0         45       1.848348          195.0
           0         45       1.850321          180.0
           0         45       1.855246          180.0
           0         45       1.856342          210.0
           0         45       1.862489          180.0
           0         45       1.869915          180.0
           0         45       2.054586          180.0
           0         45       2.057047          165.0
           0         45       2.060789          180.0
           0         45       2.072168          180.0
           0         45       2.073385          195.0
           0         45       2.079847          180.0
           0         45       2.080920          195.0
           0         45       2.087551          180.0
           0         45       2.095254          180.0
           0         45       2.102910          180.0
           0         45       2.112750          180.0
           0         45       2.120340          180.0
           0         45       2.203179          180.0
           0         45       2.311485          180.0
           0         45       2.321769          180.0
           0         45       2.328211          180.0
           0         45       2.329510          165.0
           0         45       2.350165          180.0
           0         45       2.362679            0.0
           0         45       2.419126          180.0
           0         45       2.438726          180.0
           0         45       2.442984          180.0
           0         45       2.447359          180.0
           0         45       2.503231          180.0
           0         45       2.504289          195.0
           0         45       2.508834          150.0
           0         45       2.512327          165.0
           0         45       2.517200          180.0
           0         45       2.519301          180.0
           0         45       2.524304          180.0
           0         45       2.526371          180.0
           0         45       2.528703          195.0
           0         45       2.542539          180.0
           0         45       2.557436          150.0
           0         45       2.569401          195.0
           0         45       2.585758          180.0
           0         45       2.589546          255.0
           0         45       2.613109          180.0
           0         45       2.614292          165.0
           0         45       2.615688          180.0
           0         45       2.634289          180.0
           0         45       2.657664          180.0
           0         45       2.779418          180.0
           0         45       2.783230          180.0
           0         45       2.785637          180.0
           0         45       2.789629          180.0
           0         45       2.793540          180.0
           0         45       2.815043          180.0
           0         45       2.821141          180.0
           0         45       2.827633          180.0
           0         45       2.832195          180.0
           0         45       2.833332          165.0
           0         45       2.836012          195.0
           0         45       2.838574          180.0
           0         45       2.914937          180.0
           0         45       2.922562          180.0
           0         45       2.938488          180.0
           0         45       2.948127          195.0
           5         50       0.008961          165.0
           5         50       0.019126          180.0
           5         50       0.038624          195.0
           5         50       0.152520          180.0
           5         50       0.181485            0.0
           5         50       0.240879          165.0
           5         50       0.242022          195.0
           5         50       0.244334          210.0
           5         50       0.250129          180.0
           5         50       0.252428          195.0
           5         50       0.260575          165.0
           5         50       0.261739          195.0
           5         50       0.405751          180.0
           5         50       0.477465          180.0
           5         50       0.490581          165.0
           5         50       0.499238          180.0
           5         50       0.504789          180.0
           5         50       0.509597          180.0
           5         50       0.519875          180.0
           5         50       0.529200          180.0
           5         50       0.538836          180.0
           5         50       0.574084          195.0
           5         50       0.575520          165.0
           5         50       0.582157          180.0
           5         50       0.589121          180.0
           5         50       0.604949          180.0
           5         50       0.687762          180.0
           5         50       0.688835          165.0
           5         50       0.693652          180.0
           5         50       0.701336          180.0
           5         50       0.702721          195.0
           5         50       0.705153          180.0
           5         50       0.709355          180.0
           5         50       0.717922          165.0
           5         50       0.732576          150.0
           5         50       0.735934          180.0
           5         50       0.736990          150.0
           5         50       0.752805          210.0
           5         50       0.767086          180.0
           5         50       1.497836          180.0
           5         50       1.524922          180.0
           5         50       1.613813          180.0
           5         50       1.623566          180.0
           5         50       1.624633          165.0
           5         50       1.634165          180.0
           5         50       1.637155          165.0
           5         50       1.646311          165.0
           5         50       1.658459          165.0
           5         50       1.665597          180.0
           5         50       1.666981          165.0
           5         50       1.675918          180.0
           5         50       1.677329          165.0
           5         50       1.767954          180.0
           5         50       1.777902          180.0
           5         50       1.779997          195.0
           5         50       1.808239          180.0
           5         50       1.818562          180.0
           5         50       1.839855          180.0
           5         50       1.844057          195.0
           5         50       1.850160          180.0
           5         50       1.860692          180.0
           5         50       1.871230          180.0
           5         50       1.881770          180.0
           5         50       1.892383          180.0
           5         50       1.895192          180.0
           5         50       1.913508          180.0
           5         50       1.914848          165.0
           5         50       1.930290          105.0
           5         50       1.936301          165.0
           5         50       1.947082          165.0
           5         50       1.950215          180.0
           5         50       1.978118          180.0
           5         50       1.990186          150.0
           5         50       1.992785          180.0
           5         50       2.010395          180.0
           5         50       2.012948          165.0
           5         50       2.020981          180.0
           5         50       2.027004          180.0
           5         50       2.032359          180.0
           5         50       2.043445          180.0
           5         50       2.044536          165.0
           5         50       2.054500          180.0
           5         50       2.055590          165.0
           5         50       2.066915          180.0
           5         50       2.078434          180.0
           5         50       2.221941          180.0
           5         50       2.244750          180.0
           5         50       2.278629          180.0
           5         50       2.300606          180.0
           5         50       2.311899          180.0
           5         50       2.335840          180.0
           5         50       2.341786          180.0
           5         50       2.358618          180.0
           5         50       2.359895          165.0
           5         50       2.382274          180.0
           5         50       2.394351          180.0
           5         50       2.413855          180.0
           5         50       2.417989          180.0
           5         50       2.429958          180.0
          10         55       0.016984          180.0
          10         55       0.018100          165.0
          10         55       0.027035          180.0
          10         55       0.028135          165.0
          10         55       0.039582          195.0
          10         55       0.059581          165.0
          10         55       0.070058          180.0
          10         55       0.099929          180.0
          10         55       0.344922          180.0
          10         55       0.355831          165.0
          10         55       0.359164          195.0
          10         55       0.367016          180.0
          10         55       0.378461          180.0
          10         55       0.426172          180.0
          10         55       0.437719          180.0
          10         55       0.449567          165.0
          10         55       0.945126          180.0
          10         55       0.964973          180.0
          10         55       0.974922          165.0
          10         55       0.984723          180.0
          10         55       0.985760          165.0
          10         55       0.998266          165.0
          10         55       0.999269          180.0
          10         55       1.004644          180.0
          10         55       1.005707          165.0
          10         55       1.006723          180.0
          10         55       1.009393          165.0
          10         55       1.014239          165.0
          10         55       1.041033           60.0
          10         55       1.043182          165.0
          10         55       1.054082          180.0
          10         55       1.081202          165.0
          10         55       1.082407          180.0
          10         55       1.091961          180.0
          10         55       1.100084          165.0
          10         55       1.109620          165.0
          10         55       1.119078          180.0
          10         55       1.120360          165.0
          10         55       1.128528          165.0
          10         55       1.137883          180.0
          10         55       1.166014          165.0
          10         55       1.169679          180.0
