LIF SNN Neuron Firing Log — Foci
Parameters: tau_leaky=40us, v_thresh=0.8V
LIF Resolution: 15° per neuron
Date: 2026-03-30 05:02:22
======================================================================
  True Angle  Servo Pos  Fire Time (s)   Neuron Angle
----------------------------------------------------------------------
           0         45       0.002332          180.0
           0         45       0.007480          180.0
           0         45       0.018098          180.0
           0         45       0.022308          180.0
           0         45       0.023651          165.0
           0         45       0.024698          195.0
           0         45       0.026192          210.0
           0         45       0.027239          180.0
           0         45       0.031778          165.0
           0         45       0.034301          180.0
           0         45       0.035348          195.0
           0         45       0.037219          180.0
           0         45       0.039186          195.0
           0         45       0.040812          180.0
           0         45       0.041864          165.0
           0         45       0.045665          180.0
           0         45       0.047315          195.0
           0         45       0.048342          165.0
           0         45       0.052260          210.0
           0         45       0.053805          180.0
           0         45       0.060297          180.0
           0         45       0.066808          180.0
           0         45       0.073321          180.0
           0         45       0.079836          180.0
           0         45       0.079836          195.0
           0         45       0.086317          195.0
           0         45       0.087797          210.0
           0         45       0.092797          180.0
           0         45       0.092797          195.0
           0         45       0.100172          255.0
           0         45       0.105722          180.0
           0         45       0.119976          180.0
           0         45       0.124949          180.0
           0         45       0.127757          195.0
           0         45       0.137293          165.0
           0         45       0.137293          180.0
           0         45       0.143762          180.0
           0         45       0.150316          180.0
           0         45       0.160379          180.0
           0         45       0.164137          180.0
           0         45       0.170762          180.0
           0         45       0.171973          195.0
           0         45       0.174653          195.0
           0         45       0.176851          180.0
           0         45       0.190282            0.0
           0         45       0.192832          180.0
           0         45       0.195672          300.0
           0         45       0.208774          165.0
           0         45       0.210340          180.0
           0         45       0.216863          180.0
           0         45       0.220989          195.0
           0         45       0.229914          180.0
           0         45       0.236434          180.0
           0         45       0.242988          180.0
           0         45       0.249523          180.0
           0         45       0.256097          180.0
           0         45       0.262722          180.0
           0         45       0.264199            0.0
           0         45       0.266265          180.0
           0         45       0.275922          180.0
           0         45       0.282704          180.0
           0         45       0.289555          180.0
           0         45       0.299397          105.0
           0         45       0.303781          180.0
           0         45       0.304897          225.0
           0         45       0.314409          105.0
           0         45       0.363672          180.0
           0         45       0.387605          180.0
           0         45       0.409312          180.0
           0         45       0.456254          180.0
           0         45       0.782867          180.0
           0         45       0.793437          180.0
           0         45       0.795854          165.0
           0         45       0.805715          180.0
           0         45       0.961789          180.0
           0         45       0.973520          180.0
           0         45       1.535973          180.0
           0         45       1.543195          180.0
           0         45       1.642043          180.0
           0         45       1.648270          180.0
           0         45       1.654376          180.0
           0         45       1.666747          180.0
           0         45       1.673101          180.0
           0         45       1.679536          180.0
           0         45       1.686149          180.0
           0         45       1.701742          180.0
           0         45       1.707383          180.0
           0         45       1.828609          180.0
           0         45       1.835051          180.0
           0         45       1.836254          195.0
           0         45       1.840176          180.0
           0         45       1.841594          195.0
           0         45       1.848321          180.0
           0         45       1.850340          165.0
           0         45       1.851637          180.0
           0         45       1.855234          180.0
           0         45       1.856329          210.0
           0         45       1.859239          165.0
           0         45       1.862488          180.0
           0         45       1.869906          180.0
           0         45       1.884053           60.0
           0         45       2.054575          180.0
           0         45       2.057008          180.0
           0         45       2.059645          180.0
           0         45       2.060809          195.0
           0         45       2.061926          165.0
           0         45       2.063053          195.0
           0         45       2.070092          150.0
           0         45       2.072168          180.0
           0         45       2.073383          195.0
