LIF SNN Grand Summary — Foci
Date: 2026-03-30 08:02:28
Recordings: 27 angles (0°–130°)
LIF Resolution: 15° per neuron
================================================================================

Parameter Set    tau(us)    Vt(V)    Mean Err   Max Err    Std Err    Success      #Fired    
--------------------------------------------------------------------------------
optimized        58         0.80     76.1       180.0      55.5       27/27 (100%) 6983      
respeaker        55         1.00     77.8       180.0      54.5       27/27 (100%) 2436      
tight_leak       40         0.80     77.2       180.0      54.5       27/27 (100%) 5271      
loose_leak       100        0.80     75.0       180.0      58.5       27/27 (100%) 10506     
low_thresh       58         0.50     64.3       180.0      62.1       27/27 (100%) 33154     
high_thresh      58         1.20     77.8       180.0      52.0       27/27 (100%) 529       

================================================================================
Best parameter set: low_thresh (mean error = 64.3°)

================================================================================
Per-angle breakdown (predicted angle for each param set):
--------------------------------------------------------------------------------
True°   optimized     respeaker     tight_leak    loose_leak    low_thresh    high_thresh   
--------------------------------------------------------------------------------
0         180°(e=180°)    180°(e=180°)    180°(e=180°)    180°(e=180°)    180°(e=180°)    180°(e=180°)  
5         180°(e=175°)    180°(e=175°)    180°(e=175°)    180°(e=175°)      0°(e=5°)    180°(e=175°)  
10        180°(e=170°)    180°(e=170°)    180°(e=170°)    180°(e=170°)    180°(e=170°)    165°(e=155°)  
15        165°(e=150°)    165°(e=150°)    165°(e=150°)    180°(e=165°)      0°(e=15°)    165°(e=150°)  
20        165°(e=145°)    165°(e=145°)    165°(e=145°)    165°(e=145°)     15°(e=5°)    165°(e=145°)  
25        165°(e=140°)    165°(e=140°)    165°(e=140°)    165°(e=140°)     15°(e=10°)    150°(e=125°)  
30        150°(e=120°)    150°(e=120°)    150°(e=120°)    165°(e=135°)     15°(e=15°)    150°(e=120°)  
35        150°(e=115°)    150°(e=115°)    150°(e=115°)    165°(e=130°)    150°(e=115°)    150°(e=115°)  
40        150°(e=110°)    150°(e=110°)    150°(e=110°)    150°(e=110°)    150°(e=110°)    150°(e=110°)  
45        150°(e=105°)    135°(e=90°)    135°(e=90°)    135°(e=90°)     30°(e=15°)    135°(e=90°)  
50        135°(e=85°)    135°(e=85°)    135°(e=85°)    135°(e=85°)    135°(e=85°)    135°(e=85°)  
55        120°(e=65°)    135°(e=80°)    120°(e=65°)    120°(e=65°)    120°(e=65°)    135°(e=80°)  
60        120°(e=60°)    120°(e=60°)    120°(e=60°)    120°(e=60°)    120°(e=60°)    120°(e=60°)  
65        120°(e=55°)    120°(e=55°)    120°(e=55°)    105°(e=40°)    120°(e=55°)    120°(e=55°)  
70        105°(e=35°)    120°(e=50°)    120°(e=50°)    105°(e=35°)    255°(e=175°)    120°(e=50°)  
75        105°(e=30°)    105°(e=30°)    105°(e=30°)    105°(e=30°)    105°(e=30°)    120°(e=45°)  
80        105°(e=25°)    105°(e=25°)    105°(e=25°)    105°(e=25°)    105°(e=25°)    105°(e=25°)  
85        105°(e=20°)    105°(e=20°)    105°(e=20°)     90°(e=5°)     90°(e=5°)    105°(e=20°)  
90         90°(e=0°)     90°(e=0°)     90°(e=0°)     90°(e=0°)     90°(e=0°)     90°(e=0°)  
95         90°(e=5°)     90°(e=5°)     90°(e=5°)     90°(e=5°)     90°(e=5°)     90°(e=5°)  
100        90°(e=10°)     90°(e=10°)     90°(e=10°)     90°(e=10°)    270°(e=170°)     90°(e=10°)  
105        90°(e=15°)     90°(e=15°)     90°(e=15°)     90°(e=15°)     90°(e=15°)     75°(e=30°)  
110        75°(e=35°)     75°(e=35°)     75°(e=35°)     90°(e=20°)     90°(e=20°)     75°(e=35°)  
115        75°(e=40°)     75°(e=40°)     75°(e=40°)     75°(e=40°)     75°(e=40°)     75°(e=40°)  
120        75°(e=45°)     60°(e=60°)     60°(e=60°)     75°(e=45°)    285°(e=165°)     60°(e=60°)  
125        75°(e=50°)     60°(e=65°)     60°(e=65°)     75°(e=50°)     75°(e=50°)     60°(e=65°)  
130        60°(e=70°)     60°(e=70°)     60°(e=70°)     75°(e=55°)      0°(e=130°)     60°(e=70°)  
