true_angle,param_name,tau_us,v_thresh,predicted_angle,error,n_fires,n_input_spikes
0,optimized,58,0.8,180.0,180.0,295,2500
5,optimized,58,0.8,180.0,175.0,261,2276
10,optimized,58,0.8,180.0,170.0,246,2085
15,optimized,58,0.8,165.0,150.0,173,1568
20,optimized,58,0.8,165.0,145.0,163,1348
25,optimized,58,0.8,165.0,140.0,10,1313
30,optimized,58,0.8,150.0,120.0,154,1362
35,optimized,58,0.8,150.0,115.0,374,3095
40,optimized,58,0.8,150.0,110.0,400,2895
45,optimized,58,0.8,150.0,105.0,492,3449
50,optimized,58,0.8,135.0,85.0,279,2131
55,optimized,58,0.8,119.99999999999999,64.99999999999999,134,938
60,optimized,58,0.8,119.99999999999999,59.999999999999986,505,4251
65,optimized,58,0.8,119.99999999999999,54.999999999999986,291,2652
70,optimized,58,0.8,105.0,35.0,310,2286
75,optimized,58,0.8,105.0,30.0,269,2083
80,optimized,58,0.8,105.0,25.0,348,3339
85,optimized,58,0.8,105.0,20.0,350,3265
90,optimized,58,0.8,90.0,0.0,344,3051
95,optimized,58,0.8,90.0,5.0,247,2430
100,optimized,58,0.8,90.0,10.0,141,1219
105,optimized,58,0.8,90.0,15.0,275,2849
110,optimized,58,0.8,75.0,35.0,197,1531
115,optimized,58,0.8,75.0,40.0,154,1262
120,optimized,58,0.8,75.0,45.0,121,897
125,optimized,58,0.8,75.0,50.0,209,1813
130,optimized,58,0.8,59.99999999999999,70.0,241,3644
0,respeaker,55,1.0,180.0,180.0,110,2500
5,respeaker,55,1.0,180.0,175.0,99,2276
10,respeaker,55,1.0,180.0,170.0,84,2085
15,respeaker,55,1.0,165.0,150.0,57,1568
20,respeaker,55,1.0,165.0,145.0,63,1348
25,respeaker,55,1.0,165.0,140.0,69,1313
30,respeaker,55,1.0,150.0,120.0,69,1362
35,respeaker,55,1.0,150.0,115.0,134,3095
40,respeaker,55,1.0,150.0,110.0,133,2895
45,respeaker,55,1.0,135.0,90.0,140,3449
50,respeaker,55,1.0,135.0,85.0,74,2131
55,respeaker,55,1.0,135.0,80.0,57,938
60,respeaker,55,1.0,119.99999999999999,59.999999999999986,163,4251
65,respeaker,55,1.0,119.99999999999999,54.999999999999986,83,2652
70,respeaker,55,1.0,119.99999999999999,49.999999999999986,106,2286
75,respeaker,55,1.0,105.0,30.0,82,2083
80,respeaker,55,1.0,105.0,25.0,111,3339
85,respeaker,55,1.0,105.0,20.0,118,3265
90,respeaker,55,1.0,90.0,0.0,125,3051
95,respeaker,55,1.0,90.0,5.0,107,2430
100,respeaker,55,1.0,90.0,10.0,60,1219
105,respeaker,55,1.0,90.0,15.0,104,2849
110,respeaker,55,1.0,75.0,35.0,69,1531
115,respeaker,55,1.0,75.0,40.0,68,1262
120,respeaker,55,1.0,59.99999999999999,60.00000000000001,45,897
125,respeaker,55,1.0,59.99999999999999,65.0,58,1813
130,respeaker,55,1.0,59.99999999999999,70.0,48,3644
0,tight_leak,40,0.8,180.0,180.0,226,2500
5,tight_leak,40,0.8,180.0,175.0,188,2276
10,tight_leak,40,0.8,180.0,170.0,187,2085
15,tight_leak,40,0.8,165.0,150.0,136,1568
20,tight_leak,40,0.8,165.0,145.0,116,1348
25,tight_leak,40,0.8,165.0,140.0,131,1313
30,tight_leak,40,0.8,150.0,120.0,122,1362
35,tight_leak,40,0.8,150.0,115.0,274,3095
40,tight_leak,40,0.8,150.0,110.0,278,2895
45,tight_leak,40,0.8,135.0,90.0,317,3449
50,tight_leak,40,0.8,135.0,85.0,195,2131
55,tight_leak,40,0.8,119.99999999999999,64.99999999999999,93,938
60,tight_leak,40,0.8,119.99999999999999,59.999999999999986,359,4251
65,tight_leak,40,0.8,119.99999999999999,54.999999999999986,202,2652
70,tight_leak,40,0.8,119.99999999999999,49.999999999999986,239,2286
75,tight_leak,40,0.8,105.0,30.0,194,2083
80,tight_leak,40,0.8,105.0,25.0,276,3339
85,tight_leak,40,0.8,105.0,20.0,265,3265
90,tight_leak,40,0.8,90.0,0.0,268,3051
95,tight_leak,40,0.8,90.0,5.0,200,2430
100,tight_leak,40,0.8,90.0,10.0,124,1219
105,tight_leak,40,0.8,90.0,15.0,210,2849
110,tight_leak,40,0.8,75.0,35.0,147,1531
115,tight_leak,40,0.8,75.0,40.0,127,1262
120,tight_leak,40,0.8,59.99999999999999,60.00000000000001,94,897
125,tight_leak,40,0.8,59.99999999999999,65.0,150,1813
130,tight_leak,40,0.8,59.99999999999999,70.0,153,3644
0,loose_leak,100,0.8,180.0,180.0,399,2500
5,loose_leak,100,0.8,180.0,175.0,362,2276
10,loose_leak,100,0.8,180.0,170.0,335,2085
15,loose_leak,100,0.8,180.0,165.0,249,1568
20,loose_leak,100,0.8,165.0,145.0,230,1348
25,loose_leak,100,0.8,165.0,140.0,242,1313
30,loose_leak,100,0.8,165.0,135.0,246,1362
35,loose_leak,100,0.8,165.0,130.0,570,3095
40,loose_leak,100,0.8,150.0,110.0,636,2895
45,loose_leak,100,0.8,135.0,90.0,738,3449
50,loose_leak,100,0.8,135.0,85.0,410,2131
55,loose_leak,100,0.8,119.99999999999999,64.99999999999999,202,938
60,loose_leak,100,0.8,119.99999999999999,59.999999999999986,798,4251
65,loose_leak,100,0.8,105.0,40.0,455,2652
70,loose_leak,100,0.8,105.0,35.0,450,2286
75,loose_leak,100,0.8,105.0,30.0,383,2083
80,loose_leak,100,0.8,105.0,25.0,522,3339
85,loose_leak,100,0.8,90.0,5.0,487,3265
90,loose_leak,100,0.8,90.0,0.0,487,3051
95,loose_leak,100,0.8,90.0,5.0,331,2430
100,loose_leak,100,0.8,90.0,10.0,180,1219
105,loose_leak,100,0.8,90.0,15.0,397,2849
110,loose_leak,100,0.8,90.0,20.0,249,1531
115,loose_leak,100,0.8,75.0,40.0,214,1262
120,loose_leak,100,0.8,75.0,45.0,173,897
125,loose_leak,100,0.8,75.0,50.0,340,1813
130,loose_leak,100,0.8,75.0,55.0,421,3644
0,low_thresh,58,0.5,180.0,180.0,1341,2500
5,low_thresh,58,0.5,0.0,5.0,1212,2276
10,low_thresh,58,0.5,180.0,170.0,1119,2085
15,low_thresh,58,0.5,0.0,15.0,866,1568
20,low_thresh,58,0.5,14.999999999999998,5.000000000000002,729,1348
25,low_thresh,58,0.5,14.999999999999998,10.000000000000002,739,1313
30,low_thresh,58,0.5,14.999999999999998,15.000000000000002,742,1362
35,low_thresh,58,0.5,150.0,115.0,1702,3095
40,low_thresh,58,0.5,150.0,110.0,1586,2895
45,low_thresh,58,0.5,29.999999999999996,15.000000000000004,1881,3449
50,low_thresh,58,0.5,135.0,85.0,1176,2131
55,low_thresh,58,0.5,119.99999999999999,64.99999999999999,512,938
60,low_thresh,58,0.5,119.99999999999999,59.999999999999986,2331,4251
65,low_thresh,58,0.5,119.99999999999999,54.999999999999986,1429,2652
70,low_thresh,58,0.5,255.0,175.0,1297,2286
75,low_thresh,58,0.5,105.0,30.0,1128,2083
80,low_thresh,58,0.5,105.0,25.0,1865,3339
85,low_thresh,58,0.5,90.0,5.0,1828,3265
90,low_thresh,58,0.5,90.0,0.0,1598,3051
95,low_thresh,58,0.5,90.0,5.0,1229,2430
100,low_thresh,58,0.5,270.0,170.0,641,1219
105,low_thresh,58,0.5,90.0,15.0,1476,2849
110,low_thresh,58,0.5,90.0,20.0,784,1531
115,low_thresh,58,0.5,75.0,40.0,709,1262
120,low_thresh,58,0.5,285.0,165.0,490,897
125,low_thresh,58,0.5,75.0,50.0,990,1813
130,low_thresh,58,0.5,0.0,130.0,1754,3644
0,high_thresh,58,1.2,180.0,180.0,32,2500
5,high_thresh,58,1.2,180.0,175.0,19,2276
10,high_thresh,58,1.2,165.0,155.0,8,2085
15,high_thresh,58,1.2,165.0,150.0,19,1568
20,high_thresh,58,1.2,165.0,145.0,18,1348
25,high_thresh,58,1.2,150.0,125.0,8,1313
30,high_thresh,58,1.2,150.0,120.0,27,1362
35,high_thresh,58,1.2,150.0,115.0,43,3095
40,high_thresh,58,1.2,150.0,110.0,26,2895
45,high_thresh,58,1.2,135.0,90.0,38,3449
50,high_thresh,58,1.2,135.0,85.0,19,2131
55,high_thresh,58,1.2,135.0,80.0,14,938
60,high_thresh,58,1.2,119.99999999999999,59.999999999999986,17,4251
65,high_thresh,58,1.2,119.99999999999999,54.999999999999986,23,2652
70,high_thresh,58,1.2,119.99999999999999,49.999999999999986,22,2286
75,high_thresh,58,1.2,119.99999999999999,44.999999999999986,8,2083
80,high_thresh,58,1.2,105.0,25.0,31,3339
85,high_thresh,58,1.2,105.0,20.0,34,3265
90,high_thresh,58,1.2,90.0,0.0,11,3051
95,high_thresh,58,1.2,90.0,5.0,24,2430
100,high_thresh,58,1.2,90.0,10.0,21,1219
105,high_thresh,58,1.2,75.0,30.0,11,2849
110,high_thresh,58,1.2,75.0,35.0,25,1531
115,high_thresh,58,1.2,75.0,40.0,12,1262
120,high_thresh,58,1.2,59.99999999999999,60.00000000000001,4,897
125,high_thresh,58,1.2,59.99999999999999,65.0,5,1813
130,high_thresh,58,1.2,59.99999999999999,70.0,10,3644
